id,title,one_liner,stage,idea_type,conviction,tags,links,visibility,user_id,created_at,updated_at
00000000-0000-4000-8000-000000000001,prodlog — progress log for solo founders,Track every idea from a spark to launch; log progress and share curated portfolios.,building,app,9,"[""saas"",""founder"",""productivity""]","{""repo"":""https://github.com/atensaiadmin/prodlogonline"",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-000000000002,EnergyFabric — Industrial Tribal Knowledge Agent,"Capture, preserve and query the tribal knowledge of retiring industrial engineers (IBM ICA + Bob).",building,research,9,"[""ibm"",""watsonx"",""knowledge"",""industrial"",""ai""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",private,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-000000000003,Nigerian Digital Travel Registry (NDTR) — multi-agency,"Multi-agency digital travel identity & border data framework for Nigeria, evolved from a position paper.",validating,paper,8,"[""nigeria"",""govtech"",""identity"",""policy""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-000000000004,PornRecovery — recovery companion,Concept for a companion app supporting people overcoming porn addiction.,inbox,app,6,"[""health"",""recovery"",""app""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",private,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-000000000005,Atensai — launch & company strategy,"Company setup, IP/patent, taxation and cross-border (Nigeria–Ireland) strategy for launching Atensai.",validating,writing,8,"[""atensai"",""strategy"",""business"",""ip""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",private,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-000000000006,Atensai — deployment strategy (StudyCircle backend),Backend architecture & deployment strategy for StudyCircle and Atensai services.,inbox,research,6,"[""atensai"",""architecture"",""backend""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",private,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-000000000007,UNALONE — companion for the lonely,"Vision/research project addressing loneliness, with research highlights and a companion product.",building,research,8,"[""mental-health"",""companion"",""research""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-000000000008,Covenant — faith companion (UNALONE),"Christ-focused companion experience, an afterthought product inside UNALONE.",building,app,7,"[""faith"",""flutter"",""companion""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-000000000009,Finance Manager,Personal finance tracking & management app (docs + UI).,building,app,7,"[""finance"",""saas""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-00000000000a,Selah — pause & reflect,"A Flutter app for pause, meditation and reflection.",building,app,7,"[""flutter"",""meditation"",""faith""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-00000000000b,Invest Engine,Investment analysis & modeling tool (Tauri + React).,building,app,7,"[""investing"",""tauri"",""react""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-00000000000c,FEIN,Full-stack FEIN project — backend + UI. (Add your one-liner.),building,app,6,"[""fullstack""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-00000000000d,StudyCircle,Study group platform (backend architecture designed).,validating,app,6,"[""education""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-00000000000e,Routesense,Route planning app. (Add your one-liner.),inbox,app,5,"[""routes"",""maps""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",summary,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
00000000-0000-4000-8000-00000000000f,Pan Ocean — industrial SCADA & tribal knowledge,Gas-plant SCADA & operational knowledge-retention research from Pan Ocean Oil experience.,inbox,research,6,"[""oil-gas"",""scada"",""knowledge""]","{""repo"":"""",""deploy"":"""",""docs"":""""}",private,8857d2c0-7352-42e0-8779-6c41de3c158f,2026-08-04T00:00:00.000Z,2026-08-04T00:00:00.000Z
